# Lucide icon codepoints — auto-generated from Lucide.ttf
# Format: hex_codepoint  glyph-name
#
# Usage in Rust:  iced::widget::text("\u{XXXX}").font(LUCIDE_FONT)

//! Lucide icon helpers.
//!
//! **Adding a new icon:** look up the codepoint in
//! `crates/playfair-core/assets/fonts/lucide-codepoints.txt`,
//! then follow the pattern of any existing function below.

0000  .notdef#1
f5bb  hop_off
f577  hospital
f555  hotel
f533  hourglass
f489  house
f511  house_heart
f4ef  house_plug
f4cd  house_plus
f4ab  house_wifi
f467  ice_cream_bowl
f445  ice_cream_cone
f401  id_card
f423  id_card_lanyard
f2f1  image
f3df  image_down
f3bd  image_minus
f39b  image_off
f379  image_play
f357  image_plus
f335  image_up
f313  image_upscale
f2cf  images
f2ad  import
f28b  inbox
f269  indian_rupee
f247  infinity
f225  info
f203  inspection_panel
f1e1  instagram
f1bf  italic
f19d  iteration_ccw
f17b  iteration_cw
f15a  japanese_yen
f139  joystick
f118  kanban
f0f7  kayak
f094  key
f0d6  key_round
f0b5  key_square
f031  keyboard
f073  keyboard_music
f052  keyboard_off
f5fe  lamp
f010  lamp_ceiling
f686  lamp_desk
f664  lamp_floor
f642  lamp_wall_down
f620  lamp_wall_up
f5dc  land_plot
f5ba  landmark
f598  languages
f532  laptop
f554  laptop_minimal
f576  laptop_minimal_check
f4ee  lasso
f510  lasso_select
f4cc  laugh
f466  layers
f4aa  layers_2
f488  layers_plus
f444  layout_dashboard
f422  layout_grid
f400  layout_list
f3de  layout_panel_left
f3bc  layout_panel_top
f39a  layout_template
f378  leaf
f356  leafy_green
f334  lectern
f312  lens_concave
f2f0  lens_convex
f2ac  library
f2ce  library_big
f28a  life_buoy
f268  ligature
f224  lightbulb
f246  lightbulb_off
f202  line_dot_right_horizontal
f1e0  line_squiggle
f17a  link
f19c  link_2
f1be  link_2_off
f159  linkedin
f531  list
f138  list_check
f117  list_checks
f0f6  list_chevrons_down_up
f0d5  list_chevrons_up_down
f0b4  list_collapse
f093  list_end
f051  list_filter
f072  list_filter_plus
f030  list_indent_decrease
f00f  list_indent_increase
f685  list_minus
f663  list_music
f641  list_ordered
f61f  list_plus
f5fd  list_restart
f5db  list_start
f5b9  list_todo
f597  list_tree
f575  list_video
f553  list_x
f4cb  loader
f50f  loader_circle
f4ed  loader_pinwheel
f465  locate
f4a9  locate_fixed
f487  locate_off
f3dd  lock
f421  lock_keyhole
f443  lock_keyhole_open
f3ff  lock_open
f3bb  log_in
f399  log_out
f377  logs
f355  lollipop
f333  luggage
f311  magnet
f1df  mail
f2ef  mail_check
f2cd  mail_minus
f2ab  mail_open
f289  mail_plus
f267  mail_question_mark
f245  mail_search
f223  mail_warning
f201  mail_x
f1bd  mailbox
f19b  mails
f61e  map
f179  map_minus
f684  map_pin
f137  map_pin_check
f158  map_pin_check_inside
f116  map_pin_house
f0d4  map_pin_minus
f0f5  map_pin_minus_inside
f0b3  map_pin_off
f092  map_pin_pen
f050  map_pin_plus
f071  map_pin_plus_inside
f00e  map_pin_x
f02f  map_pin_x_inside
f662  map_pinned
f640  map_plus
f5da  mars
f5fc  mars_stroke
f5b8  martini
f574  maximize
f596  maximize_2
f552  medal
f50e  megaphone
f530  megaphone_off
f4ec  meh
f4ca  memory_stick
f4a8  menu
f486  merge
f2ee  message_circle
f464  message_circle_check
f442  message_circle_code
f420  message_circle_dashed
f3fe  message_circle_heart
f3dc  message_circle_more
f3ba  message_circle_off
f398  message_circle_plus
f376  message_circle_question_mark
f354  message_circle_reply
f332  message_circle_warning
f310  message_circle_x
f0b2  message_square
f2cc  message_square_check
f2aa  message_square_code
f288  message_square_dashed
f266  message_square_diff
f244  message_square_dot
f222  message_square_heart
f200  message_square_lock
f1de  message_square_more
f1bc  message_square_off
f19a  message_square_plus
f178  message_square_quote
f157  message_square_reply
f136  message_square_share
f115  message_square_text
f0f4  message_square_warning
f0d3  message_square_x
f091  messages_square
f070  metronome
f00d  mic
f04f  mic_off
f02e  mic_vocal
f683  microchip
f661  microscope
f63f  microwave
f61d  milestone
f5d9  milk
f5fb  milk_off
f595  minimize
f5b7  minimize_2
f573  minus
f551  mirror_rectangular
f52f  mirror_round
f353  monitor
f50d  monitor_check
f4eb  monitor_cloud
f4c9  monitor_cog
f4a7  monitor_dot
f485  monitor_down
f463  monitor_off
f441  monitor_pause
f41f  monitor_play
f3fd  monitor_smartphone
f3db  monitor_speaker
f3b9  monitor_stop
f397  monitor_up
f375  monitor_x
f30f  moon
f331  moon_star
f2ed  motorbike
f2a9  mountain
f2cb  mountain_snow
f177  mouse
f287  mouse_left
f265  mouse_off
f1bb  mouse_pointer
f221  mouse_pointer_2
f243  mouse_pointer_2_off
f1ff  mouse_pointer_ban
f1dd  mouse_pointer_click
f199  mouse_right
f63e  move
f156  move_3d
f114  move_diagonal
f135  move_diagonal_2
f0b1  move_down
f0f3  move_down_left
f0d2  move_down_right
f090  move_horizontal
f06f  move_left
f04e  move_right
f682  move_up
f02d  move_up_left
f00c  move_up_right
f660  move_vertical
f5b6  music
f61c  music_2
f5fa  music_3
f5d8  music_4
f52e  navigation
f572  navigation_2
f594  navigation_2_off
f550  navigation_off
f50c  network
f4ea  newspaper
f4c8  nfc
f4a6  non_binary
f41e  notebook
f484  notebook_pen
f462  notebook_tabs
f440  notebook_text
f3da  notepad_text
f3fc  notepad_text_dashed
f396  nut
f3b8  nut_off
f2ec  octagon
f374  octagon_alert
f352  octagon_minus
f330  octagon_pause
f30e  octagon_x
f2ca  omega
f2a8  option
f286  orbit
f264  origami
f155  package
f242  package_2
f220  package_check
f1fe  package_minus
f1dc  package_open
f1ba  package_plus
f198  package_search
f176  package_x
f134  paint_bucket
f113  paint_roller
f0d1  paintbrush
f0f2  paintbrush_vertical
f0b0  palette
f08f  panda
f00b  panel_bottom
f06e  panel_bottom_close
f04d  panel_bottom_dashed
f02c  panel_bottom_open
f5f9  panel_left
f681  panel_left_close
f65f  panel_left_dashed
f63d  panel_left_open
f61b  panel_left_right_dashed
f571  panel_right
f5d7  panel_right_close
f5b5  panel_right_dashed
f593  panel_right_open
f4c7  panel_top
f54f  panel_top_bottom_dashed
f52d  panel_top_close
f50b  panel_top_dashed
f4e9  panel_top_open
f4a5  panels_left_bottom
f483  panels_right_bottom
f461  panels_top_left
f43f  paperclip
f41d  parentheses
f3fb  parking_meter
f3d9  party_popper
f3b7  pause
f395  paw_print
f373  pc_case
f2eb  pen
f351  pen_line
f32f  pen_off
f30d  pen_tool
f263  pencil
f2c9  pencil_line
f2a7  pencil_off
f285  pencil_ruler
f241  pentagon
f21f  percent
f1fd  person_standing
f1db  philippine_peso
f0f1  phone
f1b9  phone_call
f197  phone_forwarded
f175  phone_incoming
f154  phone_missed
f133  phone_off
f112  phone_outgoing
f0d0  pi
f0af  piano
f08e  pickaxe
f04c  picture_in_picture
f06d  picture_in_picture_2
f02b  piggy_bank
f65e  pilcrow
f00a  pilcrow_left
f680  pilcrow_right
f61a  pill
f63c  pill_bottle
f5d6  pin
f5f8  pin_off
f5b4  pipette
f592  pizza
f52c  plane
f570  plane_landing
f54e  plane_takeoff
f50a  play
f4a4  plug
f4e8  plug_2
f4c6  plug_zap
f482  plus
f43e  pocket
f460  pocket_knife
f41c  podcast
f3d8  pointer
f3fa  pointer_off
f3b6  popcorn
f394  popsicle
f372  pound_sterling
f32e  power
f350  power_off
f30c  presentation
f2a6  printer
f2ea  printer_check
f2c8  printer_x
f284  projector
f262  proportions
f240  puzzle
f21e  pyramid
f1fc  qr_code
f1da  quote
f1b8  rabbit
f196  radar
f174  radiation
f153  radical
f0f0  radio
f132  radio_receiver
f111  radio_tower
f0cf  radius
f0ae  rail_symbol
f08d  rainbow
f06c  rat
f04b  ratio
f591  receipt
f02a  receipt_cent
f009  receipt_euro
f67f  receipt_indian_rupee
f65d  receipt_japanese_yen
f63b  receipt_pound_sterling
f619  receipt_russian_ruble
f5f7  receipt_swiss_franc
f5d5  receipt_text
f5b3  receipt_turkish_lira
f56f  rectangle_circle
f54d  rectangle_ellipsis
f52b  rectangle_goggles
f509  rectangle_horizontal
f4e7  rectangle_vertical
f4c5  recycle
f45f  redo
f4a3  redo_2
f481  redo_dot
f41b  refresh_ccw
f43d  refresh_ccw_dot
f3d7  refresh_cw
f3f9  refresh_cw_off
f3b5  refrigerator
f393  regex
f371  remove_formatting
f30b  repeat
f34f  repeat_1
f32d  repeat_2
f2c7  replace
f2e9  replace_all
f283  reply
f2a5  reply_all
f261  rewind
f23f  ribbon
f21d  rocket
f1fb  rocking_chair
f1d9  roller_coaster
f1b7  rose
f195  rotate_3d
f131  rotate_ccw
f173  rotate_ccw_key
f152  rotate_ccw_square
f0ef  rotate_cw
f110  rotate_cw_square
f0ad  route
f0ce  route_off
f08c  router
f06b  rows_2
f04a  rows_3
f029  rows_4
f008  rss
f65c  ruler
f67e  ruler_dimension_line
f63a  russian_ruble
f618  sailboat
f5f6  salad
f5d4  sandwich
f590  satellite
f5b2  satellite_dish
f56e  saudi_riyal
f508  save
f54c  save_all
f52a  save_off
f4c4  scale
f4e6  scale_3d
f4a2  scaling
f370  scan
f480  scan_barcode
f45e  scan_eye
f43c  scan_face
f41a  scan_heart
f3f8  scan_line
f3d6  scan_qr_code
f3b4  scan_search
f392  scan_text
f34e  school
